playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Fatih Egedik,Defensive Midfield,Retired,-,37,1
Serhat Gülpinar,Defensive Midfield,Retired,free transfer,36,2
Tomas Abraham,Defensive Midfield,Retired,free transfer,40,1
Bülent Ertugrul,Defensive Midfield,Retired,free transfer,37,2
Mustafa Keceli,Left-Back,Retired,free transfer,38,2
Ismail Konuk,Centre-Back,Tuzlaspor,free transfer,32,1
Volkan Al,Centre-Back,Fatihspor,free transfer,36,1
Ibrahim Celik,Centre-Back,Retired,?,33,2
Radek Dosoudil,Centre-Back,AFK Libcice,free transfer,39,1
Roman Kratochvil,Centre-Back,Retired,free transfer,47,3
Cenk Gönen,Goalkeeper,Kayserispor,free transfer,33,1
Süleyman Kücük,Goalkeeper,Retired,-,39,0
Souleymanou Hamidou,Goalkeeper,Retired,free transfer,38,3
Onur Aydin,Centre-Forward,Caycumaspor,free transfer,33,0
Veysel Cihan,Centre-Forward,Retired,?,36,1
Gökhan Gülec,Centre-Forward,Retired,free transfer,30,2
Erdal Kilicaslan,Left Winger,Retired,free transfer,34,1
Shingayi Kaondera,Attacking Midfield,Retired,free transfer,31,1
Serkan Atak,Central Midfield,Retired,-,33,0
Engin Öztonga,Central Midfield,Retired,?,35,2
Sedat Agcay,Defensive Midfield,Retired,free transfer,39,3
Erdal Günes,Defensive Midfield,Retired,free transfer,35,3
Tareq Al Tayeb,midfield,Retired,?,39,1
Ekrem Dag,Right-Back,Retired,-,36,0
Mehmet Cogum,Centre-Back,Retired,-,31,0
Abdelilah Fahmi,Centre-Back,Retired,?,36,2
Adem Dursun,Centre-Back,Retired,-,31,0
Hasan Yurt,Centre-Back,Retired,free transfer,31,1
Ferhat Kaya,Goalkeeper,Without Club,-,36,1
Tolgahan Acar,Goalkeeper,Adana 1954 FK,free transfer,36,0
Kaya Tarakci,Goalkeeper,Retired,-,40,1
Emre Aktas,Centre-Forward,Gebzespor,free transfer,36,1
Ersen Martin,Centre-Forward,Retired,free transfer,34,1
Tita,Left Winger,Retired,free transfer,38,1
Özer Hurmaci,Attacking Midfield,Retired,-,36,1
Erman Özgür,Attacking Midfield,Retired,free transfer,36,1
Halit Köprülü,Right Midfield,Retired,free transfer,33,1
Murat Erdogan,Central Midfield,Retired,free transfer,37,1
Balázs Molnár,Defensive Midfield,Retired,-,36,2
Anil Abanoz,Right-Back,Without Club,-,35,3
Hasan Yigit,Right-Back,Retired,free transfer,36,1
Radoslav Batak,Centre-Back,Retired,free transfer,36,1
Adam Petrous,Centre-Back,Retired,?,42,1
Kürsat Duymus,Centre-Back,Retired,?,34,2
Özgür Bayer,Centre-Back,Retired,-,34,0
Ramazan Tunc,Centre-Back,Retired,?,37,1
Dragoslav Jevric,Goalkeeper,Retired,free transfer,38,2
Ergin Keles,Centre-Forward,GMG Kastamonu,free transfer,35,1
Fatih Tekke,Centre-Forward,Retired,free transfer,35,1
Tomas Jun,Second Striker,Casino Baden,-,39,3
Ibrahima Yattara,Right Winger,Y. Civril Bld.,-,42,7
Ali Güzeldal,Left Winger,Retired,free transfer,29,1
Adem Kocak,Central Midfield,Retired,free transfer,39,4
Miroslaw Szymkowiak,Central Midfield,Podgórze K.,-,43,5
Aykut Akgün,Defensive Midfield,Nilüfer Bld. FK,-,35,0
Hasan Ücüncü,Defensive Midfield,Retired,-,34,1
Hüseyin Cimsir,Defensive Midfield,Retired,-,34,1
Ferhat Cökmüs,Right-Back,Donatim,-,35,3
Fatih Akyel,Right-Back,Retired,free transfer,32,0
Tayfun Cora,Centre-Back,Retired,-,31,0
Erdinc Yavuz,Centre-Back,Retired,free transfer,37,1
Hasan Sönmez,Goalkeeper,Retired,-,36,1
Jefferson,Goalkeeper,Retired,free transfer,36,10
Özgür Can Özcan,Centre-Forward,Nevsehir Bld,?,34,0
Hakan Sükür,Centre-Forward,Retired,free transfer,37,5
Marek Heinz,Centre-Forward,Retired,?,39,1
Ümit Karan,Centre-Forward,Retired,free transfer,35,2
Necati Ates,Centre-Forward,Retired,free transfer,36,1
Aydin Yilmaz,Right Winger,Without Club,free transfer,34,1
Hasan Sas,Right Winger,Retired,€5.00m,33,11
Volkan Arslan,Central Midfield,Retired,free transfer,34,1
Ayhan Akman,Central Midfield,Retired,€500Th.,35,11
Sasa Ilic,Central Midfield,Retired,free transfer,41,9
Mehmet Güven,Defensive Midfield,Kavakliderespor,End of loan,35,0
Cihan Haspolatli,Defensive Midfield,Retired,free transfer,33,3
Alioum Saidou,Defensive Midfield,Retired,free transfer,33,1
Sabri Sarioglu,Right-Back,Retired,free transfer,34,1
Ferhat Öztorun,Left-Back,Pendikspor,free transfer,35,2
Ergün Penbe,Left-Back,Retired,free transfer,36,1
Ugur Demirok,Centre-Back,Eyüpspor,free transfer,34,1
Cihan Can,Centre-Back,Without Club,?,35,0
Yalcin Ayhan,Centre-Back,Retired,free transfer,38,0
Emre Asik,Centre-Back,Retired,End of loan,36,2
Stjepan Tomas,Centre-Back,Retired,free transfer,34,0
Aykut Ercetin,Goalkeeper,Retired,free transfer,33,1
Faryd Mondragón,Goalkeeper,Retired,free transfer,43,2
Bobô,Centre-Forward,Retired,free transfer,37,1
Ahmet Dursun,Centre-Forward,Retired,-,40,0
Souleymane Youla,Centre-Forward,Piliscsaba,-,38,1
Aílton,Centre-Forward,Retired,-,41,2
Daniel Pancu,Centre-Forward,Retired,-,41,1
Kenan Özer,Right Winger,Bodrumspor,-,35,0
Hakan Albayrak,Attacking Midfield,Sandiklispor,-,33,0
Sergen Yalcin,Attacking Midfield,Retired,free transfer,36,1
Tümer Metin,Attacking Midfield,Retired,free transfer,38,1
Okan Buruk,Right Midfield,Retired,free transfer,37,2
Ali Günes,Central Midfield,FC Furtwangen,-,41,1
Tayfur Havutcu,Defensive Midfield,Retired,free transfer,36,9
Ali Tandogan,Right-Back,Retired,free transfer,37,0
Ibrahim Üzülmez,Left-Back,Retired,-,37,0
Gökhan Zan,Centre-Back,Retired,free transfer,34,6
Mustafa Dogan,Centre-Back,Retired,-,32,1
Ibrahim Toraman,Centre-Back,Retired,End of loan,34,0
Óscar Córdoba,Goalkeeper,Retired,?,40,2
Semih Sentürk,Centre-Forward,Retired,-,35,0
Mert Nobre,Centre-Forward,Retired,free transfer,39,1
Nicolas Anelka,Centre-Forward,Retired,-,37,1
Tuncay Sanli,Left Winger,Retired,free transfer,34,1
Alex,Attacking Midfield,Retired,free transfer,38,3
Selcuk Sahin,Defensive Midfield,Retired,free transfer,39,1
Mehmet Aurélio,Defensive Midfield,Retired,-,35,0
Kerim Zengin,Right-Back,Retired,-,33,3
Serkan Balci,Right-Back,Retired,free transfer,36,2
Ümit Özat,Left-Back,Retired,free transfer,33,2
Deniz Baris,Centre-Back,Retired,free transfer,37,4
Can Arat,Centre-Back,Retired,free transfer,33,0
Önder Turaci,Centre-Back,Retired,free transfer,36,1
Servet Cetin,Centre-Back,Retired,-,35,0
Fabio Luciano,Centre-Back,Retired,?,34,2
Volkan Demirel,Goalkeeper,Retired,free transfer,38,17
Rüstü Recber,Goalkeeper,Retired,free transfer,39,5
Vyacheslav Tereshchenko,Centre-Forward,Retired,free transfer,30,1
Sergiy Ryzhykh,Centre-Forward,Retired,?,32,1
Oleksandr Pyshchur,Centre-Forward,Retired,-,36,0
Mykhaylo Kopolovets,Left Winger,Retired,-,37,0
Sergiy Rozhok,Central Midfield,Shturm Ivankiv,free transfer,37,3
Vladyslav Mykulyak,Central Midfield,Without Club,free transfer,38,1
Yuriy Dudnyk,midfield,Retired,?,40,1
Vadym Zayats,midfield,Retired,free transfer,35,3
Volodymyr Kravchenko,midfield,Retired,-,29,1
Andriy Sapuga,Right-Back,Retired,free transfer,33,1
Denys Golaydo,Left-Back,Retired,free transfer,33,2
Oleksandr Antonyuk,Left-Back,Retired,-,39,2
Igor Chuchman,Centre-Back,Retired,free transfer,30,2
Taras Mykhalyk,Centre-Back,Retired,free transfer,38,1
Yevgeniy Lozinskyi,Centre-Back,Retired,-,31,0
Sergiy Seleznyov,Defender,Retired,?,34,2
Rustam Khudzhamov,Goalkeeper,Retired,?,38,4
Oleksandr Nad,Goalkeeper,Nyíregyháza,-,37,1
Sergey Velichko,Goalkeeper,Retired,-,40,1
Dmytro Babenko,Goalkeeper,Retired,-,41,2
Kostyantyn Babych,Centre-Forward,Retired,free transfer,34,0
Eduard Tsykhmeystruk,Left Winger,Retired,free transfer,46,1
Dmytro Yesin,Left Midfield,Retired,€100Th.,32,4
Oleg Mazurenko,Right Midfield,Retired,free transfer,35,1
Ivan Kryvosheenko,Right Midfield,Retired,?,34,1
Oleksiy Gay,Central Midfield,Retired,-,37,1
Adrian Pukanych,Central Midfield,Sevlyush,free transfer,39,1
Valentyn Platonov,Defensive Midfield,Retired,free transfer,34,1
Oleksandr Papush,Right-Back,Without Club,free transfer,36,6
Denys Kulakov,Right-Back,Ural,free transfer,29,1
Lubomyr Galchuk,Left-Back,FC Vorkuta,-,36,1
Volodymyr Yaksmanytskyi,Centre-Back,Retired,?,31,1
Leonid Boyarintsev,Centre-Back,Retired,?,36,9
Andriy Boyko,Centre-Back,Retired,free transfer,36,1
Dainius Gleveckas,Centre-Back,Retired,?,36,6
Oleksandr Maltsev,Defender,Retired,?,42,3
Andriy Nikitin,Goalkeeper,Retired,free transfer,37,1
Igor Shukhovtsev,Goalkeeper,Retired,-,46,1
Oleksandr Gladkyi,Centre-Forward,Chornomorets,free transfer,35,2
Anderson Ribeiro,Second Striker,Retired,free transfer,36,2
Igor Shopin,Left Winger,Retired,free transfer,32,1
Oleksandr Maksymov,Central Midfield,Retired,free transfer,36,2
Oleksandr Granovskyi,Right-Back,Retired,-,36,1
Igor Buryak,Left-Back,Rubin Yalta,free transfer,39,5
Vladyslav Zaychuk,Left-Back,Retired,-,42,3
Yevgen Cheberyachko,Centre-Back,Retired,free transfer,34,0
Ruslan Gunchak,Centre-Back,Retired,-,38,0
Andriy Berezovchuk,Centre-Back,Retired,-,38,2
Dmytro Gololobov,Defender,Retired,-,29,1
Sergey Vetrennikov,Defender,Retired,?,33,2
Dmytro Stoyko,Goalkeeper,Retired,free transfer,37,3
Oleksandr Kosyrin,Centre-Forward,Retired,free transfer,36,1
Igor Bugaev,Centre-Forward,Retired,free transfer,37,0
Sergey Osipov,Right Winger,Retired,€100Th.,30,2
Yevgen Lutsenko,Attacking Midfield,Retired,-,31,0
Valentyn Poltavets,Attacking Midfield,Retired,-,42,1
Artem Yashkin,Left Midfield,Retired,free transfer,34,0
Ruslan Gilazev,Central Midfield,Retired,End of loan,32,1
Andriy Kirlyk,Central Midfield,Retired,?,34,5
Evgeniy Loshankov,midfield,Retired,-,39,0
Kakhaber Mzhavanadze,Right-Back,Retired,-,37,0
Dmytro Gryshko,Centre-Back,Retired,free transfer,35,3
Pavel Kirilchik,Centre-Back,Retired,free transfer,39,1
Sergiy Bilozor,Centre-Back,Retired,free transfer,33,1
Sergiy Symonenko,Centre-Back,Retired,?,33,0
Vladyslav Vashchuk,Centre-Back,Retired,free transfer,36,1
Viktor Dotsenko,Defender,Retired,free transfer,31,1
Vitaliy Rudenko,Goalkeeper,Retired,free transfer,32,2
Alexandru Popovici,Centre-Forward,FC Iskra,-,44,1
Taras Kabanov,Centre-Forward,Retired,free transfer,32,1
Oleksandr Ivashchenko,Centre-Forward,Retired,-,34,2
Andrey Panferov,Left Winger,Retired,free transfer,30,3
Vasil Gigiadze,Attacking Midfield,Retired,free transfer,35,4
Murad Ramazanov,Central Midfield,Retired,free transfer,33,1
Sergey Nikitenko,Defensive Midfield,Retired,free transfer,35,1
Ivan Kucherenko,Defensive Midfield,Ukraine United,free transfer,30,1
Mykhaylo Starostyak,Right-Back,Retired,free transfer,36,2
Igors Korablovs,Left-Back,Retired,free transfer,43,1
Vyacheslav Nivinskyi,Centre-Back,Retired,?,35,2
Oleksandr Shevelyukhin,Centre-Back,Silesia Lubomia,-,40,1
Oleksandr Poklonskyi,Centre-Back,Retired,free transfer,34,0
Denys Kolchin,Centre-Back,Retired,?,32,1
Oleg Kotelyukh,Centre-Back,Unknown,free transfer,37,0
Oleksandr Goryainov,Goalkeeper,Retired,free transfer,42,1
Andriy Kuraev,Goalkeeper,Retired,?,33,1
Yuriy Nikitenko,Goalkeeper,Retired,?,35,2
Ilya Blyznyuk,Goalkeeper,Retired,?,35,1
Vasyl Tovkatskyi,Centre-Forward,Retired,-,33,2
Marko Devic,Centre-Forward,Retired,free transfer,37,0
Michael Chidi Alozie,Centre-Forward,Retired,-,30,1
Roman Maksymyuk,Left Midfield,Retired,free transfer,38,2
Pavlo Rybkovskyi,Right Midfield,Unknown,?,33,4
Oleg Gerasymyuk,Central Midfield,Without Club,free transfer,36,0
Yaroslav Khoma,Central Midfield,Retired,free transfer,32,0
Oleg Kravchuk,midfield,Retired,?,27,2
Volodymyr Gashchyn,midfield,Retired,?,35,6
Cornel Buta,Right-Back,Retired,?,35,2
Zdravko Saraba,Left-Back,Retired,free transfer,34,4
Miodrag Dzudovic,Centre-Back,Retired,free transfer,36,1
Papa Gueye,Centre-Back,Retired,-,37,1
Vitaliy Postranskyi,Goalkeeper,Novi Sanzhary,-,45,1
Vitaliy Nedilko,Goalkeeper,Without Club,-,40,16
Burnel Okana-Stasi,Centre-Forward,Hatyai United,free transfer,39,1
Oleksandr Akymenko,attack,Retired,free transfer,37,1
Oleksandr Savanchuk,Right Midfield,Retired,free transfer,32,5
Gennadiy Zubov,Right Midfield,Retired,free transfer,30,0
Petro Kondratyuk,Central Midfield,Retired,?,42,4
Artem Kasyanov,Defensive Midfield,Retired,-,39,3
Oleksandr Polovkov,Centre-Back,Retired,free transfer,35,2
Ivan Shuga,Defender,Retired,free transfer,43,4
Andriy Komarytskyi,Goalkeeper,Retired,-,34,1
Ivan Peric,Centre-Forward,Retired,free transfer,34,0
Emmanuel Osei Okoduwa,Centre-Forward,Retired,free transfer,30,1
Oleksandr Batalskyi,Centre-Forward,FK Obolon,free transfer,33,0
Kostyantyn Yaroshenko,Attacking Midfield,Thróttur,free transfer,36,2
Oleksiy Ivanov,Attacking Midfield,Retired,-,33,1
Igor Kostyuk,Right Midfield,Retired,free transfer,33,2
Vasyl Kardash,Central Midfield,Retired,?,34,4
Sergiy Konovalov,Central Midfield,Retired,free transfer,34,0
Patrick Ebanda,Defensive Midfield,Retired,free transfer,36,1
Jaba Kankava,Defensive Midfield,Slo. Bratislava,free transfer,35,0
Dario Brgles,Right-Back,NK Granicar Djurdjevac,free transfer,35,1
Sergey Kryuchikhin,Left-Back,Retired,free transfer,36,2
Oleksandr Romanchuk,Left-Back,Retired,free transfer,31,1
Seweryn Gancarczyk,Left-Back,Retired,free transfer,41,3
Andriy Chernov,Centre-Back,Retired,?,30,3
Ivan Baranov,Centre-Back,Retired,?,25,3
Oleg Shandruk,Centre-Back,Retired,-,37,1
Ivica Piric,Centre-Back,Retired,free transfer,33,1
Yuriy Benyo,Centre-Back,Retired,-,35,0
Volodymyr Anikeev,Defender,Retired,?,30,2
Oleksandr Pershin,Defender,Retired,?,31,2
Mykhaylo Bondarenko,attack,Retired,-,30,7
Maksym Karpenko,attack,Retired,free transfer,22,1
Pavlo Rebenok,Left Midfield,Retired,free transfer,36,5
Volodymyr Popov,Right Midfield,Retired,free transfer,30,2
Sergiy Kravchenko,Central Midfield,Chornomorets,free transfer,38,4
Denys Onyshchenko,midfield,Retired,free transfer,30,1
Grygoriy Yarmash,Right-Back,Retired,?,32,6
Denys Stoyan,Left-Back,Retired,-,34,1
Oleksandr Chyzhov,Centre-Back,Retired,free transfer,35,2
Debatik Curri,Centre-Back,Retired,free transfer,34,2
Gennadiy Medvedev,Centre-Back,Retired,End of loan,36,10
Sasa Djuricic,Centre-Back,Uskok,-,33,1
Armend Dallku,Centre-Back,Retired,free transfer,36,3
Denis Glavina,Centre-Back,Rohrbach/Berg,free transfer,36,2
Sergiy Dolganskyi,Goalkeeper,Retired,-,44,1
Andriy Pyatov,Goalkeeper,Shakhtar D.,loan transfer,23,0
Ruslan Fomin,Centre-Forward,Retired,free transfer,36,2
Anatoliy Didenko,Centre-Forward,Retired,free transfer,37,1
Anton Postupalenko,Attacking Midfield,Retired,free transfer,34,2
Ruslan Yarosh,Central Midfield,Retired,?,30,1
Sergiy Valyaev,Central Midfield,Retired,free transfer,35,0
Valentyn Slyusar,Defensive Midfield,Retired,free transfer,35,2
Sergiy Kostyuk,Defensive Midfield,Without Club,?,36,5
Andriy Khomyn,Right-Back,Retired,-,35,0
Vitalie Bordian,Right-Back,Austria XIII,-,36,1
Oleksandr Kucher,Centre-Back,Retired,?,38,0
Oleg Glushok,Centre-Back,Unknown,free transfer,28,1
Evgeni Varlamov,Centre-Back,Retired,?,33,2
Oleg Ostapenko,Goalkeeper,Retired,free transfer,35,0
Oleksandr Kovpak,Centre-Forward,Retired,free transfer,38,1
Volodymyr Gomenyuk,Centre-Forward,Retired,-,31,1
Oleg Pestryakov,Left Midfield,Retired,?,32,1
Sergiy Sibiryakov,Right Midfield,Retired,-,34,1
Aleksey Osipov,Central Midfield,Retired,?,34,2
Artem Stargorodskyi,Central Midfield,Shturm Ivankiv,-,40,0
Edmar Galovskyi,Central Midfield,Retired,free transfer,39,1
Oleksiy Godin,Central Midfield,Retired,-,35,0
Andriy Kornev,Defensive Midfield,Retired,-,43,1
Yuriy Dmytrulin,Right-Back,Retired,free transfer,32,1
Vadym Melnyk,Centre-Back,Retired,free transfer,38,6
Anton Monakhov,Centre-Back,TSK-Tavriya,-,33,1
Oleksandr Chyzhevskyi,Centre-Back,Retired,free transfer,39,4
Sasa Cilinsek,Centre-Back,Retired,free transfer,34,0
Aleksandre Amisulashvili,Centre-Back,Retired,free transfer,34,0
Oleksandr Golovko,Centre-Back,Retired,?,34,1
Sasa Todic,Goalkeeper,Retired,free transfer,37,2
Vitaliy Reva,Goalkeeper,Retired,-,48,1
Sergiy Silyuk,Centre-Forward,Unknown,free transfer,33,2
Volodymyr Arzhanov,Right Winger,Retired,-,36,2
Sergiy Shyshchenko,Left Winger,Retired,free transfer,34,2
Valeriy Kryventsov,Attacking Midfield,Retired,?,33,2
Vladimir Korytko,Attacking Midfield,Retired,?,38,2
Darko Tasevski,Attacking Midfield,Slavia Sofia,free transfer,35,2
Andrey Demchenko,Attacking Midfield,Retired,free transfer,34,0
Oleksandr Aliyev,Attacking Midfield,Retired,-,36,2
Yevgen Pisotskyi,Right Midfield,Without Club,-,35,1
Igor Luchkevych,Right Midfield,Retired,?,33,2
Bledi Shkëmbi,Central Midfield,Retired,?,37,6
Sergiy Nagornyak,Central Midfield,Retired,free transfer,35,1
Maksym Trusevych,Defensive Midfield,Retired,free transfer,36,1
Spomenko Bosnjak,midfield,Retired,?,35,2
Aleksandar Tomash,Right-Back,Retired,free transfer,34,1
Volodymyr Polyovyi,Left-Back,MFK Metalurg,free transfer,35,3
Vitaliy Vernydub,Centre-Back,Kryvbas,free transfer,35,4
Dmytro Nevmyvaka,Centre-Back,Retired,free transfer,34,2
Sergiy Popov,Centre-Back,Retired,free transfer,34,1
Sergey Shtanyuk,Centre-Back,Retired,free transfer,37,1
Dmytro Chygrynskyi,Centre-Back,Ionikos Nikeas,-,35,0
Maksym Kuchynskyi,Goalkeeper,Tatran Presov,End of loan,34,0
Dmytro Bezotosnyi,Goalkeeper,Retired,free transfer,36,0
Andriy Tlumak,Goalkeeper,Retired,free transfer,38,3
Andriy Glushchenko,Goalkeeper,Retired,-,41,2
Dmytro Vorobyov,Goalkeeper,Retired,-,38,0
Kostyantyn Balabanov,Centre-Forward,Retired,-,31,1
Sergiy Motuz,Centre-Forward,Retired,free transfer,31,0
Sergey Kornilenko,Centre-Forward,Retired,-,38,0
Valeriy Kutsenko,Attacking Midfield,Retired,-,35,1
Kostyantyn Kravchenko,Attacking Midfield,Retired,?,30,0
Sergiy Nazarenko,Attacking Midfield,Retired,-,39,1
Georgi Peev,Right Midfield,Retired,€400Th.,37,9
Oleksandr Grytsay,Defensive Midfield,Retired,free transfer,38,3
Oleg Shelayev,Defensive Midfield,Retired,-,46,1
Volodymyr Yezerskyi,Right-Back,Retired,free transfer,38,1
Dmytro Semochko,Left-Back,Retired,-,40,0
Oleksandr Radchenko,Left-Back,Retired,free transfer,33,0
Vyacheslav Serdyuk,Centre-Back,Retired,free transfer,31,1
Vitaliy Lysytskyi,Centre-Back,Retired,free transfer,35,1
Sergiy Matyukhin,Centre-Back,Retired,free transfer,32,1
Bogdan Shershun,Centre-Back,Retired,free transfer,33,1
Andriy Rusol,Centre-Back,Retired,€200Th.,28,8
Mykola Medin,Goalkeeper,Retired,?,35,1
Vyacheslav Kernozenko,Goalkeeper,Retired,End of loan,34,0
Artem Kusliy,Goalkeeper,Retired,-,28,0
Volodymyr Pryiomov,Centre-Forward,JK Trans Narva,free transfer,36,0
Ivica Zuljevic,Centre-Forward,Retired,free transfer,34,4
Bratislav Ristic,Right Winger,Retired,free transfer,33,0
Marian Aliuta,Attacking Midfield,Retired,€150Th.,32,1
Levan Tskitishvili,Left Midfield,Retired,free transfer,33,0
Sergiy Tkachenko,Right Midfield,Retired,-,32,0
Marius Mitu,Central Midfield,Retired,free transfer,36,2
Marko Grubelic,Left-Back,Retired,End of loan,33,2
Vyacheslav Checher,Centre-Back,Retired,free transfer,38,4
Igor Gjuzelov,Centre-Back,Retired,free transfer,35,5
Boban Grncarov,Centre-Back,Retired,free transfer,36,4
Arsene Né,Centre-Back,Retired,-,31,2
Elvin Beqiri,Centre-Back,Retired,free transfer,35,3
Vladimir Disljenkovic,Goalkeeper,Retired,?,34,5
Volodymyr Lysenko,Centre-Forward,Kolos Kovalivka,-,29,0
Maksim Shatskikh,Centre-Forward,Retired,free transfer,38,1
Artem Milevskyi,Centre-Forward,Retired,free transfer,36,0
Sergiy Rebrov,Second Striker,Retired,€700Th.,35,1
Milos Ninkovic,Left Winger,Western Sydney,free transfer,37,7
Diogo Rincón,Attacking Midfield,Retired,-,33,1
Florin Cernat,Attacking Midfield,Retired,free transfer,38,2
Oleg Gusev,Right Midfield,Retired,-,35,1
Ruslan Rotan,Central Midfield,Retired,free transfer,37,0
Tiberiu Ghioane,Central Midfield,Retired,free transfer,30,10
Andrey Eshchenko,Right-Back,Znamya Noginsk,-,38,0
Badr El Kaddouri,Left-Back,Retired,-,32,1
Andriy Nesmachnyi,Left-Back,Retired,-,32,12
Ayila Yussuf,Centre-Back,Retired,End of loan,31,0
Denys Dedechko,Centre-Back,JK Trans Narva,free transfer,35,2
Goran Gavrancic,Centre-Back,Retired,free transfer,32,0
Goran Sablic,Centre-Back,Retired,End of loan,31,2
Sergiy Fedorov,Centre-Back,Retired,-,34,0
Rodrigo,Centre-Back,Retired,free transfer,38,1
Leonid Musin,Goalkeeper,Inter-2005 M.,free transfer,32,2
Oleksandr Rybka,Goalkeeper,Metalist,loan transfer,34,-1
Oleksandr Shovkovskyi,Goalkeeper,Retired,free transfer,42,24
Oleksiy Belik,Centre-Forward,Retired,-,36,0
Julius Aghahowa,Centre-Forward,Retired,-,30,1
Andriy Vorobey,Centre-Forward,Retired,-,40,4
Brandão,Centre-Forward,Retired,free transfer,38,1
Zvonimir Vukic,Attacking Midfield,Retired,free transfer,36,1
Jádson,Attacking Midfield,Retired,-,39,0
Tomas Hübschman,Defensive Midfield,Jablonec,€3.00m,33,10
Igor Duljaj,Defensive Midfield,Retired,free transfer,35,4
Fernandinho,Defensive Midfield,Athletico-PR,€40.00m,37,9
